"","count","gene","sample","ind","time","region","APA","strained","group"
"175",1,"pkmz","33","BL 1","AM","CA3","trained","wt","7"
"176",8,"pkmz","33","BL 1","AM","CA3","trained","wt","7"
"177",2,"pkmz","33","BL 1","AM","CA3","trained","wt","7"
"178",5,"pkmz","34","BL 2","AM","CA3","trained","wt","7"
"179",4,"pkmz","34","BL 2","AM","CA3","trained","wt","7"
"180",4,"pkmz","34","BL 2","AM","CA3","trained","wt","7"
"181",4,"grim","1","a","AM","CA1","control","fmr1","1"
"182",4,"grim","1","a","AM","CA1","control","fmr1","1"
"184",6,"grim","8","e","AM","CA1","control","fmr1","1"
"185",9,"grim","8","e","AM","CA1","control","fmr1","1"
"186",6,"grim","8","e","AM","CA1","control","fmr1","1"
"187",0,"grim","10","g","AM","CA1","control","fmr1","1"
"188",0,"grim","10","g","AM","CA1","control","fmr1","1"
"190",6,"grim","12","i","AM","CA1","control","fmr1","1"
"191",10,"grim","12","i","AM","CA1","control","fmr1","1"
"192",5,"grim","12","i","AM","CA1","control","fmr1","1"
"193",3,"grim","14","k","AM","CA1","control","fmr1","1"
"194",9,"grim","14","k","AM","CA1","control","fmr1","1"
"195",6,"grim","14","k","AM","CA1","control","fmr1","1"
"196",4,"grim","55","a","AM","CA1","control","fmr1","1"
"197",4,"grim","55","a","AM","CA1","control","fmr1","1"
"199",6,"grim","56","e","AM","CA1","control","fmr1","1"
"200",9,"grim","56","e","AM","CA1","control","fmr1","1"
"201",6,"grim","56","e","AM","CA1","control","fmr1","1"
"202",0,"grim","57","g","AM","CA1","control","fmr1","1"
"203",0,"grim","57","g","AM","CA1","control","fmr1","1"
"205",6,"grim","58","i","AM","CA1","control","fmr1","1"
"206",10,"grim","58","i","AM","CA1","control","fmr1","1"
"207",5,"grim","58","i","AM","CA1","control","fmr1","1"
"208",3,"grim","59","k","AM","CA1","control","fmr1","1"
"209",9,"grim","59","k","AM","CA1","control","fmr1","1"
"210",6,"grim","59","k","AM","CA1","control","fmr1","1"
"211",12,"grim","5","b ","AM","CA1","trained","fmr1","1"
"212",15,"grim","5","b ","AM","CA1","trained","fmr1","1"
"213",10,"grim","5","b ","AM","CA1","trained","fmr1","1"
"214",23,"grim","7","c","AM","CA1","trained","fmr1","1"
"215",26,"grim","7","c","AM","CA1","trained","fmr1","1"
"216",24,"grim","7","c","AM","CA1","trained","fmr1","1"
"217",4,"grim","9","f","AM","CA1","trained","fmr1","1"
"218",6,"grim","9","f","AM","CA1","trained","fmr1","1"
"219",6,"grim","9","f","AM","CA1","trained","fmr1","1"
"220",2,"grim","11","h","AM","CA1","trained","fmr1","1"
"221",5,"grim","11","h","AM","CA1","trained","fmr1","1"
"222",3,"grim","11","h","AM","CA1","trained","fmr1","1"
"223",0,"grim","13","j","AM","CA1","trained","fmr1","1"
"224",2,"grim","13","j","AM","CA1","trained","fmr1","1"
"225",0,"grim","13","j","AM","CA1","trained","fmr1","1"
"226",12,"grim","61","b ","AM","CA1","trained","fmr1","1"
"227",15,"grim","61","b ","AM","CA1","trained","fmr1","1"
"228",10,"grim","61","b ","AM","CA1","trained","fmr1","1"
"229",23,"grim","62","c","AM","CA1","trained","fmr1","1"
"230",26,"grim","62","c","AM","CA1","trained","fmr1","1"
"231",24,"grim","62","c","AM","CA1","trained","fmr1","1"
"232",4,"grim","63","f","AM","CA1","trained","fmr1","1"
"233",6,"grim","63","f","AM","CA1","trained","fmr1","1"
"234",6,"grim","63","f","AM","CA1","trained","fmr1","1"
"235",2,"grim","64","h","AM","CA1","trained","fmr1","1"
"236",5,"grim","64","h","AM","CA1","trained","fmr1","1"
"237",3,"grim","64","h","AM","CA1","trained","fmr1","1"
"238",0,"grim","65","j","AM","CA1","trained","fmr1","1"
"239",2,"grim","65","j","AM","CA1","trained","fmr1","1"
"240",0,"grim","65","j","AM","CA1","trained","fmr1","1"
"241",4,"grim","4","ab","AM","CA1","control","wt","2"
"242",4,"grim","4","ab","AM","CA1","control","wt","2"
"243",5,"grim","4","ab","AM","CA1","control","wt","2"
"244",4,"grim","38","BL16","AM","CA1","control","wt","3"
"245",8,"grim","38","BL16","AM","CA1","control","wt","3"
"246",3,"grim","38","BL16","AM","CA1","control","wt","3"
"247",0,"grim","42","BL4","AM","CA1","control","wt","3"
"248",3,"grim","42","BL4","AM","CA1","control","wt","3"
"249",1,"grim","42","BL4","AM","CA1","control","wt","3"
"250",1,"grim","43","BL12","AM","CA1","control","wt","3"
"251",3,"grim","43","BL12","AM","CA1","control","wt","3"
"252",2,"grim","43","BL12","AM","CA1","control","wt","3"
"253",1,"grim","44","BL10","PM","CA1","control","wt","3"
"254",0,"grim","44","BL10","PM","CA1","control","wt","3"
"255",0,"grim","44","BL10","PM","CA1","control","wt","3"
