"","ind","strain.APA","region","gene","count"
"236","f","fmr1 Trained","CA1","rRNA18S",107.666666666667
"237","h","fmr1 Trained","CA1","rRNA18S",67.6666666666667
"238","j","fmr1 Trained","CA1","rRNA18S",37.6666666666667
"239","BL 10","B6 Control","CA3","rRNA18S",618
"240","BL 12","B6 Control","CA3","rRNA18S",392.333333333333
"241","BL 14","B6 Control","CA3","rRNA18S",2255.66666666667
"242","BL 18","B6 Control","CA3","rRNA18S",1380.33333333333
"243","BL 4","B6 Control","CA3","rRNA18S",3154.66666666667
"244","BL 6","B6 Control","CA3","rRNA18S",1191.33333333333
"245","BL 8","B6 Control","CA3","rRNA18S",1007
"246","BL 1","B6 Trained","CA3","rRNA18S",10521
"247","BL 11","B6 Trained","CA3","rRNA18S",1492.66666666667
"248","BL 13","B6 Trained","CA3","rRNA18S",516
"249","BL 15","B6 Trained","CA3","rRNA18S",6755
"250","BL 19","B6 Trained","CA3","rRNA18S",1252.66666666667
"251","BL 2","B6 Trained","CA3","rRNA18S",9270.66666666667
"252","BL 3","B6 Trained","CA3","rRNA18S",625
"253","BL 5","B6 Trained","CA3","rRNA18S",1204.33333333333
"254","BL 7","B6 Trained","CA3","rRNA18S",3239
"255","BL 9","B6 Trained","CA3","rRNA18S",418.333333333333
