"","count","gene","sample","ind","time","region","APA","strained","group","year"
"148",7,"grim","35","BL11","AM","CA1","trained","B6","5","2013"
"150",3,"grim","35","BL11","AM","CA1","trained","B6","5","2013"
"151",10,"grim","36","BL7","AM","CA1","trained","B6","5","2013"
"152",11,"grim","36","BL7","AM","CA1","trained","B6","5","2013"
"153",12,"grim","36","BL7","AM","CA1","trained","B6","5","2013"
"157",2,"grim","39","BL19","PM","CA1","trained","B6","5","2013"
"158",1,"grim","39","BL19","PM","CA1","trained","B6","5","2013"
"159",2,"grim","39","BL19","PM","CA1","trained","B6","5","2013"
"161",2,"grim","40","BL3","AM","CA1","trained","B6","5","2013"
"163",7,"grim","41","BL13","PM","CA1","trained","B6","5","2013"
"164",10,"grim","41","BL13","PM","CA1","trained","B6","5","2013"
"165",3,"grim","41","BL13","PM","CA1","trained","B6","5","2013"
"166",1,"grim","46","BL1","AM","CA1","trained","B6","5","2013"
"167",3,"grim","46","BL1","AM","CA1","trained","B6","5","2013"
"168",2,"grim","46","BL1","AM","CA1","trained","B6","5","2013"
"169",44,"grim","47","BL15","PM","CA1","trained","B6","5","2013"
"170",51,"grim","47","BL15","PM","CA1","trained","B6","5","2013"
"171",46,"grim","47","BL15","PM","CA1","trained","B6","5","2013"
"172",18,"grim","48","BL9","AM","CA1","trained","B6","5","2013"
"173",16,"grim","48","BL9","AM","CA1","trained","B6","5","2013"
"174",15,"grim","48","BL9","AM","CA1","trained","B6","5","2013"
"176",1,"grim","49","BL5","AM","CA1","trained","B6","5","2013"
"177",1,"grim","49","BL5","AM","CA1","trained","B6","5","2013"
"178",18,"grim","52","BL17","AM","CA1","trained","B6","5","2013"
"179",17,"grim","52","BL17","AM","CA1","trained","B6","5","2013"
"180",14,"grim","52","BL17","AM","CA1","trained","B6","5","2013"
"181",2082,"rpl19","1","a","AM","CA1","control","fmr1","1","2014"
"182",1987,"rpl19","1","a","AM","CA1","control","fmr1","1","2014"
"183",1968,"rpl19","1","a","AM","CA1","control","fmr1","1","2014"
"184",5690,"rpl19","8","e","AM","CA1","control","fmr1","1","2014"
"185",5404,"rpl19","8","e","AM","CA1","control","fmr1","1","2014"
"186",5391,"rpl19","8","e","AM","CA1","control","fmr1","1","2014"
"187",1988,"rpl19","12","i","AM","CA1","control","fmr1","1","2014"
"188",1944,"rpl19","12","i","AM","CA1","control","fmr1","1","2014"
"189",1898,"rpl19","12","i","AM","CA1","control","fmr1","1","2014"
"190",3018,"rpl19","14","k","AM","CA1","control","fmr1","1","2014"
"191",3018,"rpl19","14","k","AM","CA1","control","fmr1","1","2014"
"192",2677,"rpl19","14","k","AM","CA1","control","fmr1","1","2014"
"193",1611,"rpl19","5","b ","AM","CA1","trained","fmr1","8","2014"
"194",1533,"rpl19","5","b ","AM","CA1","trained","fmr1","8","2014"
"195",1380,"rpl19","5","b ","AM","CA1","trained","fmr1","8","2014"
"196",21912,"rpl19","7","c","AM","CA1","trained","fmr1","8","2014"
"197",19612,"rpl19","7","c","AM","CA1","trained","fmr1","8","2014"
"199",714,"rpl19","9","f","AM","CA1","trained","fmr1","8","2014"
"200",696,"rpl19","9","f","AM","CA1","trained","fmr1","8","2014"
"201",642,"rpl19","9","f","AM","CA1","trained","fmr1","8","2014"
"202",2515,"rpl19","11","h","AM","CA1","trained","fmr1","8","2014"
"203",2488,"rpl19","11","h","AM","CA1","trained","fmr1","8","2014"
"204",2343,"rpl19","11","h","AM","CA1","trained","fmr1","8","2014"
"205",1157,"rpl19","4","ab","AM","CA1","control","B6","2","2014"
"206",1122,"rpl19","4","ab","AM","CA1","control","B6","2","2014"
"207",1107,"rpl19","4","ab","AM","CA1","control","B6","2","2014"
"208",259,"rpl19","38","BL16","AM","CA1","control","B6","3","2013"
"209",262,"rpl19","38","BL16","AM","CA1","control","B6","3","2013"
"210",315,"rpl19","38","BL16","AM","CA1","control","B6","3","2013"
"211",137,"rpl19","42","BL4","AM","CA1","control","B6","3","2013"
"212",150,"rpl19","42","BL4","AM","CA1","control","B6","3","2013"
"215",78,"rpl19","43","BL12","AM","CA1","control","B6","3","2013"
"216",79,"rpl19","43","BL12","AM","CA1","control","B6","3","2013"
"217",41,"rpl19","44","BL10","PM","CA1","control","B6","3","2013"
"218",50,"rpl19","44","BL10","PM","CA1","control","B6","3","2013"
"219",43,"rpl19","44","BL10","PM","CA1","control","B6","3","2013"
"220",5,"rpl19","45","BL8","AM","CA1","control","B6","3","2013"
"221",13,"rpl19","45","BL8","AM","CA1","control","B6","3","2013"
"222",14,"rpl19","45","BL8","AM","CA1","control","B6","3","2013"
"223",81,"rpl19","50","BL18","AM","CA1","control","B6","3","2013"
"224",103,"rpl19","50","BL18","AM","CA1","control","B6","3","2013"
"225",77,"rpl19","50","BL18","AM","CA1","control","B6","3","2013"
"226",170,"rpl19","51","BL14","AM","CA1","control","B6","3","2013"
"227",150,"rpl19","51","BL14","AM","CA1","control","B6","3","2013"
"228",209,"rpl19","51","BL14","AM","CA1","control","B6","3","2013"
"229",244,"rpl19","53","BL6","AM","CA1","control","B6","3","2013"
"230",221,"rpl19","53","BL6","AM","CA1","control","B6","3","2013"
"231",188,"rpl19","53","BL6","AM","CA1","control","B6","3","2013"
"232",1157,"rpl19","54","ab","AM","CA1","control","B6","2","2014"
"233",1122,"rpl19","54","ab","AM","CA1","control","B6","2","2014"
"234",1107,"rpl19","54","ab","AM","CA1","control","B6","2","2014"
"235",1227,"rpl19","2","a wt","AM","CA1","trained","B6","4","2014"
"236",1209,"rpl19","2","a wt","AM","CA1","trained","B6","4","2014"
"237",1157,"rpl19","2","a wt","AM","CA1","trained","B6","4","2014"
"238",214,"rpl19","35","BL11","AM","CA1","trained","B6","5","2013"
"239",191,"rpl19","35","BL11","AM","CA1","trained","B6","5","2013"
"240",194,"rpl19","35","BL11","AM","CA1","trained","B6","5","2013"
"241",330,"rpl19","36","BL7","AM","CA1","trained","B6","5","2013"
"242",326,"rpl19","36","BL7","AM","CA1","trained","B6","5","2013"
"243",262,"rpl19","36","BL7","AM","CA1","trained","B6","5","2013"
"244",57,"rpl19","37","BL2","AM","CA1","trained","B6","5","2013"
"245",43,"rpl19","37","BL2","AM","CA1","trained","B6","5","2013"
"246",70,"rpl19","37","BL2","AM","CA1","trained","B6","5","2013"
"247",211,"rpl19","39","BL19","PM","CA1","trained","B6","5","2013"
"248",116,"rpl19","39","BL19","PM","CA1","trained","B6","5","2013"
"249",118,"rpl19","39","BL19","PM","CA1","trained","B6","5","2013"
"250",105,"rpl19","40","BL3","AM","CA1","trained","B6","5","2013"
"251",97,"rpl19","40","BL3","AM","CA1","trained","B6","5","2013"
"252",96,"rpl19","40","BL3","AM","CA1","trained","B6","5","2013"
"253",186,"rpl19","41","BL13","PM","CA1","trained","B6","5","2013"
"254",238,"rpl19","41","BL13","PM","CA1","trained","B6","5","2013"
"255",188,"rpl19","41","BL13","PM","CA1","trained","B6","5","2013"
"256",83,"rpl19","46","BL1","AM","CA1","trained","B6","5","2013"
"257",105,"rpl19","46","BL1","AM","CA1","trained","B6","5","2013"
"258",105,"rpl19","46","BL1","AM","CA1","trained","B6","5","2013"
"259",1368,"rpl19","47","BL15","PM","CA1","trained","B6","5","2013"
"260",1119,"rpl19","47","BL15","PM","CA1","trained","B6","5","2013"
"261",1208,"rpl19","47","BL15","PM","CA1","trained","B6","5","2013"
"262",726,"rpl19","48","BL9","AM","CA1","trained","B6","5","2013"
"263",701,"rpl19","48","BL9","AM","CA1","trained","B6","5","2013"
"264",633,"rpl19","48","BL9","AM","CA1","trained","B6","5","2013"
"265",43,"rpl19","49","BL5","AM","CA1","trained","B6","5","2013"
"266",59,"rpl19","49","BL5","AM","CA1","trained","B6","5","2013"
"267",41,"rpl19","49","BL5","AM","CA1","trained","B6","5","2013"
"268",453,"rpl19","52","BL17","AM","CA1","trained","B6","5","2013"
"269",469,"rpl19","52","BL17","AM","CA1","trained","B6","5","2013"
"270",459,"rpl19","52","BL17","AM","CA1","trained","B6","5","2013"
