APA,strained,pkmz,grim,rpl19
control,wt,36.79415894,34.69942856,26.25535583
control,wt,33.78559875,34.77597427,28.48207474
control,wt,33.54773712,33.91501236,28.46533203
control,wt,33.69449615,35.29069138,28.18232918
control,wt,36.27683258,-1,29.45595741
control,wt,37.97496414,35.61506271,29.31846809
control,wt,38.06683731,36.7565918,NA
control,wt,35.83820724,36.86261368,NA
control,wt,37.9685936,35.50193024,30.32250404
control,wt,35.54870987,36.27035522,30.30216408
control,wt,37.72859573,37.7696991,31.32437515
control,wt,-1,-1,30.99177551
control,wt,36.21240997,-1,31.2183609
control,wt,NA,36.93864441,34.59643173
control,wt,NA,-1,33.1267128
control,wt,NA,35.69929504,32.97315216
control,wt,35.33703613,36.84502411,30.25627708
control,wt,35.48984528,36.7335434,29.89768028
control,wt,35.43572235,35.21102142,30.3367672
control,wt,36.25089645,35.17491531,29.12389374
control,wt,36.00594711,36.24655151,29.32318687
control,wt,36.21489334,34.41275787,28.80682182
control,wt,34.69125748,34.93935013,28.57095337
control,wt,37.30381012,34.29908371,28.72323799
control,wt,35.63079453,35.82927322,28.96980667
control,wt,35.60031509,35.05534744,26.18714905
control,wt,36.07208633,34.98841095,26.2336483
control,wt,36.79415894,34.69942856,26.25535583
trained,wt,35.10873413,35.14461517,26.09681129
trained,wt,35.32863998,33.78046799,26.11940002
trained,wt,35.02077484,33.91615677,26.18650627
trained,wt,36.0647049,34.02370834,28.77085495
trained,wt,35.28365707,-1,28.94545364
trained,wt,35.23236847,35.43574142,28.92487335
trained,wt,34.13155746,33.64958954,28.108881
trained,wt,35.27114105,33.43871307,28.12989044
trained,wt,34.44876099,33.27784729,28.46445847
trained,wt,34.56593323,-1,30.79911995
trained,wt,34.89548111,-1,31.23608971
trained,wt,34.53607559,-1,30.48181534
trained,wt,-1,35.82953644,28.79901886
trained,wt,-1,37.91650391,29.71682549
trained,wt,36.38460541,36.31776428,29.68202209
trained,wt,36.56921768,-1,29.8723259
trained,wt,37.77781296,35.97529602,29.98677635
trained,wt,35.84762573,-1,30.00517654
trained,wt,35.09890747,34.20962524,28.98794365
trained,wt,35.75272369,33.55444717,28.61257172
trained,wt,34.62456131,35.2699852,28.96902847
trained,wt,-1,36.69838715,30.23171234
trained,wt,-1,35.47835541,29.86355972
trained,wt,-1,36.25488663,29.86397552
trained,wt,33.0075798,31.37648392,25.9298954
trained,wt,33.062603,31.14772224,26.23864746
trained,wt,32.8705101,31.30413437,26.12080574
trained,wt,34.37045288,32.73983765,26.90160179
trained,wt,34.68447495,32.88922501,26.95425797
trained,wt,33.94664001,32.94205475,27.11223984
trained,wt,36.66988754,-1,31.2286129
trained,wt,-1,37.65876389,30.74606133
trained,wt,37.69877625,37.65061951,31.31110954
trained,wt,33.00233459,32.70794296,27.62348175
trained,wt,32.56336594,32.75511932,27.56990814
trained,wt,33.31090927,33.1163559,27.60569954
trained,wt,35.10873413,35.14461517,26.09681129
trained,wt,35.32863998,33.78046799,26.11940002
trained,wt,35.02077484,33.91615677,26.18650627
