count,gene,sample,ind,time,region,APA,strained,group,year,dilution factor,no wells,newcounts
70,rpl19,37,BL2,AM,CA1,trained,B6,5,2013,5,18,6300
211,rpl19,39,BL19,PM,CA1,trained,B6,5,2013,5,18,18990
116,rpl19,39,BL19,PM,CA1,trained,B6,5,2013,5,18,10440
118,rpl19,39,BL19,PM,CA1,trained,B6,5,2013,5,18,10620
105,rpl19,40,BL3,AM,CA1,trained,B6,5,2013,5,18,9450
97,rpl19,40,BL3,AM,CA1,trained,B6,5,2013,5,18,8730
96,rpl19,40,BL3,AM,CA1,trained,B6,5,2013,5,18,8640
186,rpl19,41,BL13,PM,CA1,trained,B6,5,2013,5,18,16740
238,rpl19,41,BL13,PM,CA1,trained,B6,5,2013,5,18,21420
188,rpl19,41,BL13,PM,CA1,trained,B6,5,2013,5,18,16920
83,rpl19,46,BL1,AM,CA1,trained,B6,5,2013,5,18,7470
105,rpl19,46,BL1,AM,CA1,trained,B6,5,2013,5,18,9450
105,rpl19,46,BL1,AM,CA1,trained,B6,5,2013,5,18,9450
1368,rpl19,47,BL15,PM,CA1,trained,B6,5,2013,5,18,123120
1119,rpl19,47,BL15,PM,CA1,trained,B6,5,2013,5,18,100710
1208,rpl19,47,BL15,PM,CA1,trained,B6,5,2013,5,18,108720
726,rpl19,48,BL9,AM,CA1,trained,B6,5,2013,5,18,65340
701,rpl19,48,BL9,AM,CA1,trained,B6,5,2013,5,18,63090
633,rpl19,48,BL9,AM,CA1,trained,B6,5,2013,5,18,56970
43,rpl19,49,BL5,AM,CA1,trained,B6,5,2013,5,18,3870
59,rpl19,49,BL5,AM,CA1,trained,B6,5,2013,5,18,5310
41,rpl19,49,BL5,AM,CA1,trained,B6,5,2013,5,18,3690
453,rpl19,52,BL17,AM,CA1,trained,B6,5,2013,5,18,40770
469,rpl19,52,BL17,AM,CA1,trained,B6,5,2013,5,18,42210
459,rpl19,52,BL17,AM,CA1,trained,B6,5,2013,5,18,41310
5,pkmz,1,a,AM,CA1,control,fmr1,1,2014,2.5,18,225
3,pkmz,1,a,AM,CA1,control,fmr1,1,2014,2.5,18,135
4,pkmz,1,a,AM,CA1,control,fmr1,1,2014,2.5,18,180
6,pkmz,8,e,AM,CA1,control,fmr1,1,2014,2.5,18,270
8,pkmz,8,e,AM,CA1,control,fmr1,1,2014,2.5,18,360
14,pkmz,8,e,AM,CA1,control,fmr1,1,2014,2.5,18,630
0,pkmz,10,g,AM,CA1,control,fmr1,1,2014,2.5,18,0
0,pkmz,10,g,AM,CA1,control,fmr1,1,2014,2.5,18,0
0,pkmz,10,g,AM,CA1,control,fmr1,1,2014,2.5,18,0
10,pkmz,12,i,AM,CA1,control,fmr1,1,2014,2.5,18,450
9,pkmz,12,i,AM,CA1,control,fmr1,1,2014,2.5,18,405
12,pkmz,12,i,AM,CA1,control,fmr1,1,2014,2.5,18,540
6,pkmz,14,k,AM,CA1,control,fmr1,1,2014,2.5,18,270
6,pkmz,14,k,AM,CA1,control,fmr1,1,2014,2.5,18,270
5,pkmz,55,a,AM,CA1,control,fmr1,1,2014,2.5,18,225
3,pkmz,55,a,AM,CA1,control,fmr1,1,2014,2.5,18,135
4,pkmz,55,a,AM,CA1,control,fmr1,1,2014,2.5,18,180
6,pkmz,56,e,AM,CA1,control,fmr1,1,2014,2.5,18,270
8,pkmz,56,e,AM,CA1,control,fmr1,1,2014,2.5,18,360
14,pkmz,56,e,AM,CA1,control,fmr1,1,2014,2.5,18,630
0,pkmz,57,g,AM,CA1,control,fmr1,1,2014,2.5,18,0
0,pkmz,57,g,AM,CA1,control,fmr1,1,2014,2.5,18,0
0,pkmz,57,g,AM,CA1,control,fmr1,1,2014,2.5,18,0
10,pkmz,58,i,AM,CA1,control,fmr1,1,2014,2.5,18,450
9,pkmz,58,i,AM,CA1,control,fmr1,1,2014,2.5,18,405
12,pkmz,58,i,AM,CA1,control,fmr1,1,2014,2.5,18,540
6,pkmz,59,k,AM,CA1,control,fmr1,1,2014,2.5,18,270
6,pkmz,59,k,AM,CA1,control,fmr1,1,2014,2.5,18,270
3,pkmz,5,b ,AM,CA1,trained,fmr1,8,2014,2.5,18,135
5,pkmz,5,b ,AM,CA1,trained,fmr1,8,2014,2.5,18,225
1,pkmz,5,b ,AM,CA1,trained,fmr1,8,2014,2.5,18,45
26,pkmz,7,c,AM,CA1,trained,fmr1,8,2014,2.5,18,1170
25,pkmz,7,c,AM,CA1,trained,fmr1,8,2014,2.5,18,1125
24,pkmz,7,c,AM,CA1,trained,fmr1,8,2014,2.5,18,1080
7,pkmz,9,f,AM,CA1,trained,fmr1,8,2014,2.5,18,315
5,pkmz,9,f,AM,CA1,trained,fmr1,8,2014,2.5,18,225
2,pkmz,9,f,AM,CA1,trained,fmr1,8,2014,2.5,18,90
3,pkmz,11,h,AM,CA1,trained,fmr1,8,2014,2.5,18,135
4,pkmz,11,h,AM,CA1,trained,fmr1,8,2014,2.5,18,180
3,pkmz,11,h,AM,CA1,trained,fmr1,8,2014,2.5,18,135
0,pkmz,13,j,AM,CA1,trained,fmr1,8,2014,2.5,18,0
2,pkmz,13,j,AM,CA1,trained,fmr1,8,2014,2.5,18,90
0,pkmz,13,j,AM,CA1,trained,fmr1,8,2014,2.5,18,0
3,pkmz,61,b ,AM,CA1,trained,fmr1,8,2014,2.5,18,135
5,pkmz,61,b ,AM,CA1,trained,fmr1,8,2014,2.5,18,225
1,pkmz,61,b ,AM,CA1,trained,fmr1,8,2014,2.5,18,45
26,pkmz,62,c,AM,CA1,trained,fmr1,8,2014,2.5,18,1170
25,pkmz,62,c,AM,CA1,trained,fmr1,8,2014,2.5,18,1125
24,pkmz,62,c,AM,CA1,trained,fmr1,8,2014,2.5,18,1080
7,pkmz,63,f,AM,CA1,trained,fmr1,8,2014,2.5,18,315
5,pkmz,63,f,AM,CA1,trained,fmr1,8,2014,2.5,18,225
2,pkmz,63,f,AM,CA1,trained,fmr1,8,2014,2.5,18,90
3,pkmz,64,h,AM,CA1,trained,fmr1,8,2014,2.5,18,135
4,pkmz,64,h,AM,CA1,trained,fmr1,8,2014,2.5,18,180
3,pkmz,64,h,AM,CA1,trained,fmr1,8,2014,2.5,18,135
0,pkmz,65,j,AM,CA1,trained,fmr1,8,2014,2.5,18,0
2,pkmz,65,j,AM,CA1,trained,fmr1,8,2014,2.5,18,90
0,pkmz,65,j,AM,CA1,trained,fmr1,8,2014,2.5,18,0
2,pkmz,4,ab,AM,CA1,control,B6,2,2014,2.5,18,90
2,pkmz,4,ab,AM,CA1,control,B6,2,2014,2.5,18,90
1,pkmz,4,ab,AM,CA1,control,B6,2,2014,2.5,18,45
2,pkmz,54,ab,AM,CA1,control,B6,2,2014,2.5,18,90
2,pkmz,54,ab,AM,CA1,control,B6,2,2014,2.5,18,90
1,pkmz,54,ab,AM,CA1,control,B6,2,2014,2.5,18,45
3,pkmz,2,a wt,AM,CA1,trained,B6,4,2014,2.5,18,135
3,pkmz,2,a wt,AM,CA1,trained,B6,4,2014,2.5,18,135
4,pkmz,2,a wt,AM,CA1,trained,B6,4,2014,2.5,18,180
3,pkmz,60,a wt,AM,CA1,trained,B6,4,2014,2.5,18,135
3,pkmz,60,a wt,AM,CA1,trained,B6,4,2014,2.5,18,135
4,pkmz,60,a wt,AM,CA1,trained,B6,4,2014,2.5,18,180
4,grim,1,a,AM,CA1,control,fmr1,1,2014,2.5,18,180
4,grim,1,a,AM,CA1,control,fmr1,1,2014,2.5,18,180
6,grim,8,e,AM,CA1,control,fmr1,1,2014,2.5,18,270
9,grim,8,e,AM,CA1,control,fmr1,1,2014,2.5,18,405
6,grim,8,e,AM,CA1,control,fmr1,1,2014,2.5,18,270
0,grim,10,g,AM,CA1,control,fmr1,1,2014,2.5,18,0
0,grim,10,g,AM,CA1,control,fmr1,1,2014,2.5,18,0
6,grim,12,i,AM,CA1,control,fmr1,1,2014,2.5,18,270
10,grim,12,i,AM,CA1,control,fmr1,1,2014,2.5,18,450
5,grim,12,i,AM,CA1,control,fmr1,1,2014,2.5,18,225
3,grim,14,k,AM,CA1,control,fmr1,1,2014,2.5,18,135
