* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 04-04-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-04-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-04-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-04-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-04-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-04-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-04-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-04-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-04-2016
* Calibration ROI is expired  = No
* Calibration ROI performed on = 04-04-2016
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 04-04-2016
* Chemistry = SYBR_GREEN
* Date Created = 2016-07-20 13:59:46 PM EDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\molecularGroup\2016-07-20_115248_ShaynNicole_CREB_PkcZ_Htt.eds
* Experiment Name = 2016-07-20_115248_ShaynNicole_CREB_PkcZ_Htt
* Experiment Run End Time = 2016-07-20 21:42:08 PM EDT
* Experiment Type = Standard Curve
* Instrument Name =       272310148
* Instrument Serial Number = 272310148
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	MTP	HIGHSD	Tm1	Tm2	Tm3	Tm4
37	D1	false		NicoleCREB	STANDARD	SYBR	None	25.882	25.802	0.075	16.000			30.476	0.986	-3.556	91.066	true	1.317	true	3	19	Amp		0.990	N	N	80.888			
38	D2	false		NicoleCREB	STANDARD	SYBR	None	25.735	25.802	0.075	16.000			30.476	0.986	-3.556	91.066	true	1.317	true	3	18	Amp		0.993	N	N	80.888			
39	D3	false		NicoleCREB	STANDARD	SYBR	None	25.788	25.802	0.075	16.000			30.476	0.986	-3.556	91.066	true	1.317	true	3	18	Amp		0.993	N	N	80.749			
40	D4	false		NicolePkcZ	STANDARD	SYBR	None	26.310	26.430	0.115	16.000			31.567	0.975	-3.757	84.589	true	0.630	true	3	20	Amp		0.996	N	N	86.458			
41	D5	false		NicolePkcZ	STANDARD	SYBR	None	26.540	26.430	0.115	16.000			31.567	0.975	-3.757	84.589	true	0.630	true	3	20	Amp		0.995	N	N	86.598			
42	D6	false		NicolePkcZ	STANDARD	SYBR	None	26.439	26.430	0.115	16.000			31.567	0.975	-3.757	84.589	true	0.630	true	3	20	Amp		0.995	N	N	86.598			
43	D7	false		ShaynCREB	STANDARD	SYBR	None	25.558	25.601	0.038	16.000			30.603	0.976	-3.677	87.061	true	1.319	true	3	18	Amp		0.991	N	N	80.888			
44	D8	false		ShaynCREB	STANDARD	SYBR	None	25.632	25.601	0.038	16.000			30.603	0.976	-3.677	87.061	true	1.319	true	3	18	Amp		0.992	N	N	80.888			
45	D9	false		ShaynCREB	STANDARD	SYBR	None	25.612	25.601	0.038	16.000			30.603	0.976	-3.677	87.061	true	1.319	true	3	17	Amp		0.995	N	N	80.888			
46	D10	false		ShaynHtt	STANDARD	SYBR	None	28.192	28.252	0.060	16.000			33.794	0.998	-4.413	68.501	true	0.939	true	3	20	Amp		0.989	N	N	85.205			
47	D11	false		ShaynHtt	STANDARD	SYBR	None	28.251	28.252	0.060	16.000			33.794	0.998	-4.413	68.501	true	0.939	true	3	20	Amp		0.988	N	N	85.344			
48	D12	false		ShaynHtt	STANDARD	SYBR	None	28.313	28.252	0.060	16.000			33.794	0.998	-4.413	68.501	true	0.939	true	3	20	Amp		0.987	N	N	85.344			
