* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 04-03-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-03-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-03-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-03-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-03-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-03-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-03-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-03-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-03-2016
* Calibration ROI is expired  = No
* Calibration ROI performed on = 04-03-2016
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 04-03-2016
* Chemistry = TAQMAN
* Date Created = 2016-07-20 13:59:22 PM EDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\molecularGroup\2016-07-20_112033_AR.eds
* Experiment Name = 2016-07-20_112033
* Experiment Run End Time = 2016-07-20 21:33:32 PM EDT
* Experiment Type = Standard Curve
* Instrument Name =       272310147
* Instrument Serial Number = 272310147
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	AMPNC	PRFLOW	NOISE	SPIKE	DRNMIN	PRFDROP	HIGHSD
45	D9	false		Ariane_18S	STANDARD	FAM	NFQ-MGB	10.984	10.757	0.205	16.000			13.589	0.961	-2.047	207.927	true	0.341	true	3	6	Amp		0.985	N	N	N	N	N	N	N
46	D10	false		Ariane_Piota	STANDARD	FAM	NFQ-MGB	24.869	24.529	1.361	16.000			29.322	0.836	-2.418	159.168	true	0.114	true	3	21	Amp		0.983	N	N	N	N	N	N	Y
47	D11	false		Ariane_Piota	STANDARD	FAM	NFQ-MGB	25.688	24.529	1.361	16.000			29.322	0.836	-2.418	159.168	true	0.114	true	3	21	Amp		0.993	N	N	N	N	N	N	Y
48	D12	false		Ariane_Piota	STANDARD	FAM	NFQ-MGB	23.030	24.529	1.361	16.000			29.322	0.836	-2.418	159.168	true	0.114	true	3	19	Amp		0.738	N	Y	N	N	N	N	Y
49	E1	false		Raina_18S	STANDARD	FAM	NFQ-MGB	14.974	14.951	0.021	4.000			23.670	0.760	-6.316	43.989	true	0.371	true	3	9	Amp		0.990	N	N	N	N	N	N	N
50	E2	false		Raina_18S	STANDARD	FAM	NFQ-MGB	14.944	14.951	0.021	4.000			23.670	0.760	-6.316	43.989	true	0.371	true	3	9	Amp		0.992	N	N	N	N	N	N	N
51	E3	false		Raina_18S	STANDARD	FAM	NFQ-MGB	14.935	14.951	0.021	4.000			23.670	0.760	-6.316	43.989	true	0.371	true	3	9	Amp		0.991	N	N	N	N	N	N	N
52	E4	false		Raina_Fmr1	STANDARD	FAM	NFQ-MGB	30.386	30.418	0.053	4.000			32.484	0.999	-3.455	94.716	true	0.599	true	3	23	Amp		0.978	N	N	N	N	N	N	N
53	E5	false		Raina_Fmr1	STANDARD	FAM	NFQ-MGB	30.390	30.418	0.053	4.000			32.484	0.999	-3.455	94.716	true	0.599	true	3	23	Amp		0.977	N	N	N	N	N	N	N
54	E6	false		Raina_Fmr1	STANDARD	FAM	NFQ-MGB	30.479	30.418	0.053	4.000			32.484	0.999	-3.455	94.716	true	0.599	true	3	24	Amp		0.991	N	N	N	N	N	N	N
55	E7	false		Ariane_18S	STANDARD	FAM	NFQ-MGB	12.071	12.132	0.084	4.000			13.589	0.961	-2.047	207.927	true	0.341	true	3	7	Amp		0.993	N	N	N	N	N	N	N
56	E8	false		Ariane_18S	STANDARD	FAM	NFQ-MGB	12.228	12.132	0.084	4.000			13.589	0.961	-2.047	207.927	true	0.341	true	3	7	Amp		0.990	N	N	N	N	N	N	N
57	E9	false		Ariane_18S	STANDARD	FAM	NFQ-MGB	12.097	12.132	0.084	4.000			13.589	0.961	-2.047	207.927	true	0.341	true	3	7	Amp		0.990	N	N	N	N	N	N	N
58	E10	false		Ariane_Piota	STANDARD	FAM	NFQ-MGB	28.415	28.173	0.239	4.000			29.322	0.836	-2.418	159.168	true	0.114	true	3	23	Amp		0.974	N	N	N	N	N	N	N
59	E11	false		Ariane_Piota	STANDARD	FAM	NFQ-MGB	28.166	28.173	0.239	4.000			29.322	0.836	-2.418	159.168	true	0.114	true	3	24	Amp		0.981	N	N	N	N	N	N	N
60	E12	false		Ariane_Piota	STANDARD	FAM	NFQ-MGB	27.937	28.173	0.239	4.000			29.322	0.836	-2.418	159.168	true	0.114	true	3	23	Amp		0.988	N	N	N	N	N	N	N
61	F1	false		Raina_18S	STANDARD	FAM	NFQ-MGB	30.136	29.824	0.667	1.000			23.670	0.760	-6.316	43.989	true	0.371	true	3	23	Amp		0.987	N	N	N	N	N	N	Y
62	F2	false		Raina_18S	STANDARD	FAM	NFQ-MGB	30.277	29.824	0.667	1.000			23.670	0.760	-6.316	43.989	true	0.371	true	3	24	Amp		0.988	N	N	N	N	N	N	Y
