Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,HIGHSD,Tm1,Tm2,Tm3,Tm4
67,F7,FALSE,BOB,PrkcI,UNKNOWN,SYBR,None,23.678,25.978,2.069,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.983,Y,80.731,,,
68,F8,FALSE,BOB,PrkcI,UNKNOWN,SYBR,None,27.689,25.978,2.069,,,,,,,,TRUE,0.628,TRUE,3,20,Amp,,0.968,Y,80.870,,,
69,F9,FALSE,BOB,PrkcI,UNKNOWN,SYBR,None,26.567,25.978,2.069,,,,,,,,TRUE,0.628,TRUE,3,19,Amp,,0.972,Y,80.314,,,
70,F10,FALSE,BOD,PrkcI,UNKNOWN,SYBR,None,23.718,24.047,0.301,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.994,N,80.314,,,
71,F11,FALSE,BOD,PrkcI,UNKNOWN,SYBR,None,24.310,24.047,0.301,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.994,N,80.314,,,
72,F12,FALSE,BOD,PrkcI,UNKNOWN,SYBR,None,24.114,24.047,0.301,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.992,N,80.314,,,
73,G1,FALSE,BLF,FMR1,UNKNOWN,SYBR,None,33.248,33.795,0.774,,,,,,,,TRUE,0.513,TRUE,3,27,Amp,,0.956,Y,86.435,,,
75,G3,FALSE,BLF,FMR1,UNKNOWN,SYBR,None,34.342,33.795,0.774,,,,,,,,TRUE,0.513,TRUE,3,28,Amp,,0.954,Y,86.296,,,
79,G7,FALSE,BLF,PrkcI,UNKNOWN,SYBR,None,24.978,25.260,0.399,,,,,,,,TRUE,0.628,TRUE,3,18,Amp,,0.975,N,80.870,,,
81,G9,FALSE,BLF,PrkcI,UNKNOWN,SYBR,None,25.543,25.260,0.399,,,,,,,,TRUE,0.628,TRUE,3,19,Amp,,0.976,N,80.175,,,
82,G10,FALSE,BLA,PrkcI,UNKNOWN,SYBR,None,23.444,23.443,0.023,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.996,N,80.314,,,
83,G11,FALSE,BLA,PrkcI,UNKNOWN,SYBR,None,23.465,23.443,0.023,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.997,N,80.592,,,
84,G12,FALSE,BLA,PrkcI,UNKNOWN,SYBR,None,23.420,23.443,0.023,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.992,N,80.592,,,
85,H1,FALSE,BYV,FMR1,UNKNOWN,SYBR,None,33.943,33.114,0.856,,,,,,,,TRUE,0.513,TRUE,3,27,Amp,,0.947,Y,86.435,,,
86,H2,FALSE,BYV,FMR1,UNKNOWN,SYBR,None,32.233,33.114,0.856,,,,,,,,TRUE,0.513,TRUE,3,26,Amp,,0.965,Y,86.296,,,
87,H3,FALSE,BYV,FMR1,UNKNOWN,SYBR,None,33.167,33.114,0.856,,,,,,,,TRUE,0.513,TRUE,3,26,Amp,,0.970,Y,86.296,,,
91,H7,FALSE,BYV,PrkcI,UNKNOWN,SYBR,None,25.086,24.850,0.334,,,,,,,,TRUE,0.628,TRUE,3,18,Amp,,0.967,N,80.870,,,
92,H8,FALSE,BYV,PrkcI,UNKNOWN,SYBR,None,24.614,24.850,0.334,,,,,,,,TRUE,0.628,TRUE,3,18,Amp,,0.978,N,80.731,,,
94,H10,FALSE,BYX,PrkcI,UNKNOWN,SYBR,None,23.834,24.003,0.371,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.996,N,80.314,,,
95,H11,FALSE,BYX,PrkcI,UNKNOWN,SYBR,None,24.429,24.003,0.371,,,,,,,,TRUE,0.628,TRUE,3,18,Amp,,0.992,N,80.314,,,
96,H12,FALSE,BYX,PrkcI,UNKNOWN,SYBR,None,23.747,24.003,0.371,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.991,N,80.592,,,

