Tube,Mouse,Slice,Punch,Date,ready.time,start.time,Slice.collector,storagebox,notes.x
EJL,16-259,1,CA2,7/8/16,14:00,14:25,JMA,Student Punches 3,
EJM,16-259,2,CA2,7/8/16,14:00,14:25,JMA,Student Punches 3,
EJN,16-259,3,CA2,7/8/16,14:00,14:25,JMA,Student Punches 3,
EKN,16-259A,1,slice,7/8/16,19:30,19:46,JMA,Slices Box 2,
EKO,16-259A,2,slice,7/8/16,19:30,19:46,JMA,Slices Box 2,
EKP,16-259A,3,slice,7/8/16,19:30,19:46,JMA,Slices Box 2,
EKQ,16-259A,4,slice,7/8/16,19:30,19:46,JMA,Slices Box 2,
EJV,16-259A,1,CA1,7/8/16,19:30,19:46,JMA,Student Punches 3,
EJW,16-259A,2,CA1,7/8/16,19:30,19:46,JMA,Student Punches 3,
EJX,16-259A,3,CA1,7/8/16,19:30,19:46,JMA,Student Punches 3,
EJY,16-259A,4,CA3,7/8/16,19:30,19:46,JMA,Student Punches 3,"took 2nd punch, lost 1st"
EJZ,16-259A,1,CA3,7/8/16,19:30,19:46,JMA,Student Punches 3,
EKA,16-259A,2,CA3,7/8/16,19:30,19:46,JMA,Student Punches 3,
EKB,16-259A,3,CA3,7/8/16,19:30,19:46,JMA,Student Punches 3,
EKC,16-259A,4,CA1,7/8/16,19:30,19:46,JMA,Student Punches 3,
EKD,16-259A,1,DG,7/8/16,19:30,19:46,JMA,Student Punches 3,
EKE,16-259A,2,DG,7/8/16,19:30,19:46,JMA,Student Punches 3,
EKF,16-259A,3,DG,7/8/16,19:30,19:46,JMA,Student Punches 3,not sure its in
EKG,16-259A,4,DG,7/8/16,19:30,19:46,JMA,Student Punches 3,
EKH,16-259A,1,CA2,7/8/16,19:30,19:46,JMA,Student Punches 3,
EKI,16-259A,2,CA2,7/8/16,19:30,19:46,JMA,Student Punches 3,
EKJ,16-259A,3,CA2,7/8/16,19:30,19:46,JMA,Student Punches 3,
EKK,16-259A,4,CA2,7/8/16,19:30,19:46,JMA,Student Punches 3,
EKL,16-259A,3,CA4,7/8/16,19:30,19:46,JMA,Student Punches 3,
EKM,16-259A,4,CA4,7/8/16,19:30,19:46,JMA,Student Punches 3,
EMU,16-259B,3,slice,7/11/16,17:00,18:54,JMA,Slices Box 2,
EMV,16-259B,4,slice,7/11/16,17:00,18:54,JMA,Slices Box 2,
EMW,16-259B,2,slice,7/11/16,17:00,18:54,JMA,Slices Box 2,
EMX,16-259B,1,slice,7/11/16,17:00,18:54,JMA,Slices Box 2,
ENS,16-259B,5,slice,7/11/16,17:00,19:15,JMA,Slices Box 2,
ENT,16-259B,6,slice,7/11/16,17:00,19:15,JMA,Slices Box 2,
ENU,16-259B,7,slice,7/11/16,17:00,19:15,JMA,Slices Box 2,
ENV,16-259B,8,slice,7/11/16,17:00,19:15,JMA,Slices Box 2,
EMY,16-259B,5,DG,7/11/16,17:00,19:15,JMA,Student Punches 3,
EMZ,16-259B,6,DG,7/11/16,17:00,19:15,JMA,Student Punches 3,
ENA,16-259B,7,DG,7/11/16,17:00,19:15,JMA,Student Punches 3,
ENB,16-259B,8,DG,7/11/16,17:00,19:15,JMA,Student Punches 3,
ENC,16-259B,5,CA3,7/11/16,17:00,19:15,JMA,Student Punches 3,
END,16-259B,6,CA3,7/11/16,17:00,19:15,JMA,Student Punches 3,
ENE,16-259B,7,CA3,7/11/16,17:00,19:15,JMA,Student Punches 3,
ENF,16-259B,8,CA3,7/11/16,17:00,19:15,JMA,Student Punches 3,
ENG,16-259B,5,CA1,7/11/16,17:00,19:15,JMA,Student Punches 3,
ENH,16-259B,6,CA1,7/11/16,17:00,19:15,JMA,Student Punches 3,
ENI,16-259B,7,CA1,7/11/16,17:00,19:15,JMA,Student Punches 3,
ENJ,16-259B,8,CA1,7/11/16,17:00,19:15,JMA,Student Punches 3,
ENK,16-259B,5,CA4,7/11/16,17:00,19:15,JMA,Student Punches 3,
ENL,16-259B,6,CA4,7/11/16,17:00,19:15,JMA,Student Punches 3,
ENM,16-259B,7,CA4,7/11/16,17:00,19:15,JMA,Student Punches 3,
ENN,16-259B,8,CA4,7/11/16,17:00,19:15,JMA,Student Punches 3,
ENO,16-259B,5,CA2,7/11/16,17:00,19:15,JMA,Student Punches 3,
ENP,16-259B,6,CA2,7/11/16,17:00,19:15,JMA,Student Punches 3,
ENQ,16-259B,7,CA2,7/11/16,17:00,19:15,JMA,Student Punches 3,
ENR,16-259B,8,CA2,7/11/16,17:00,19:15,JMA,Student Punches 4,
ESK,16-259C,1,slice,7/13/16,11:30,15:05,JMA,Slices Box 2,
ESL,16-259C,2,slice,7/13/16,11:30,15:05,JMA,Slices Box 2,
ESM,16-259C,3,slice,7/13/16,11:30,15:05,JMA,Slices Box 2,
ESN,16-259C,4,slice,7/13/16,11:30,15:05,JMA,Slices Box 2,
ERQ,16-259C,2,DG,7/13/16,11:30,15:05,JMA,Student Punches 5,
ERR,16-259C,1,DG,7/13/16,11:30,15:05,JMA,Student Punches 5,
ERS,16-259C,3,DG,7/13/16,11:30,15:05,JMA,Student Punches 5,
ERT,16-259C,4,DG,7/13/16,11:30,15:05,JMA,Student Punches 5,
