Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,HIGHSD,Tm1,Tm2,Tm3,Tm4
45,D9,FALSE,,Cam2a1,STANDARD,SYBR,None,21.312,22.979,1.925,8.000,,,26.266,0.677,-3.678,87.004,TRUE,0.448,TRUE,3,15,Amp,,0.997,N,Y,84.193,,,
46,D10,FALSE,,Fmr1,STANDARD,SYBR,None,31.843,31.342,0.570,8.000,,,37.526,0.718,-5.442,52.677,TRUE,0.162,TRUE,3,27,Amp,,0.996,N,Y,86.418,,,
47,D11,FALSE,,Fmr1,STANDARD,SYBR,None,31.462,31.342,0.570,8.000,,,37.526,0.718,-5.442,52.677,TRUE,0.162,TRUE,3,26,Amp,,0.993,N,Y,86.835,,,
48,D12,FALSE,,Fmr1,STANDARD,SYBR,None,30.722,31.342,0.570,8.000,,,37.526,0.718,-5.442,52.677,TRUE,0.162,TRUE,3,26,Amp,,0.975,N,Y,86.696,,,
51,E3,FALSE,,Arc,STANDARD,SYBR,None,33.874,33.874,,4.000,,,34.629,0.472,-1.243,537.157,TRUE,0.863,TRUE,3,26,Amp,,0.993,N,N,81.690,,,
52,E4,FALSE,,Bdnf1,STANDARD,SYBR,None,25.952,24.123,1.671,4.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,21,Amp,,0.770,Y,Y,86.279,,,
53,E5,FALSE,,Bdnf1,STANDARD,SYBR,None,23.743,24.123,1.671,4.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,19,Amp,,0.649,Y,Y,86.557,,,
54,E6,FALSE,,Bdnf1,STANDARD,SYBR,None,22.675,24.123,1.671,4.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,19,Amp,,0.621,Y,Y,86.557,,,
55,E7,FALSE,,Cam2a1,STANDARD,SYBR,None,26.122,24.071,1.823,4.000,,,26.266,0.677,-3.678,87.004,TRUE,0.448,TRUE,3,20,Amp,,0.997,N,Y,84.332,,,
56,E8,FALSE,,Cam2a1,STANDARD,SYBR,None,23.457,24.071,1.823,4.000,,,26.266,0.677,-3.678,87.004,TRUE,0.448,TRUE,3,17,Amp,,0.998,N,Y,84.471,,,
57,E9,FALSE,,Cam2a1,STANDARD,SYBR,None,22.635,24.071,1.823,4.000,,,26.266,0.677,-3.678,87.004,TRUE,0.448,TRUE,3,16,Amp,,0.747,Y,Y,84.471,,,
59,E11,FALSE,,Fmr1,STANDARD,SYBR,None,32.558,35.805,4.591,4.000,,,37.526,0.718,-5.442,52.677,TRUE,0.162,TRUE,3,27,Amp,,0.992,N,Y,86.835,,,
60,E12,FALSE,,Fmr1,STANDARD,SYBR,None,39.052,35.805,4.591,4.000,,,37.526,0.718,-5.442,52.677,TRUE,0.162,TRUE,3,34,No Amp,,0.000,Y,Y,75.990,,,
61,F1,FALSE,,Arc,STANDARD,SYBR,None,33.977,33.977,,2.000,,,34.629,0.472,-1.243,537.157,TRUE,0.863,TRUE,3,27,Amp,,0.956,N,N,81.412,,,
64,F4,FALSE,,Bdnf1,STANDARD,SYBR,None,26.968,25.370,1.828,2.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,22,Amp,,0.841,N,Y,86.139,,,
65,F5,FALSE,,Bdnf1,STANDARD,SYBR,None,25.764,25.370,1.828,2.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,22,Amp,,0.860,N,Y,86.279,,,
66,F6,FALSE,,Bdnf1,STANDARD,SYBR,None,23.376,25.370,1.828,2.000,,,26.620,0.770,-3.725,85.557,TRUE,0.118,TRUE,3,19,Amp,,0.631,Y,Y,86.835,,,
67,F7,FALSE,,Cam2a1,STANDARD,SYBR,None,26.531,24.776,1.575,2.000,,,26.266,0.677,-3.678,87.004,TRUE,0.448,TRUE,3,20,Amp,,0.997,N,Y,84.332,,,
