Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,PRFLOW,HIGHSD,Tm1,Tm2,Tm3,Tm4
28,C4,FALSE,,Dlg41,STANDARD,SYBR,None,22.944,21.968,1.030,16.000,,,26.458,0.803,-3.648,87.985,TRUE,1.170,TRUE,3,15,Amp,,0.996,N,Y,86.467,,,
29,C5,FALSE,,Dlg41,STANDARD,SYBR,None,22.070,21.968,1.030,16.000,,,26.458,0.803,-3.648,87.985,TRUE,1.170,TRUE,3,14,Amp,,0.993,N,Y,86.746,,,
30,C6,FALSE,,Dlg41,STANDARD,SYBR,None,20.891,21.968,1.030,16.000,,,26.458,0.803,-3.648,87.985,TRUE,1.170,TRUE,3,14,Amp,,0.988,N,Y,86.885,,,
31,C7,FALSE,,CREB1,STANDARD,SYBR,None,22.945,22.446,0.458,16.000,,,26.780,0.855,-3.454,94.769,TRUE,0.733,TRUE,3,16,Amp,,0.998,N,N,80.896,,,
32,C8,FALSE,,CREB1,STANDARD,SYBR,None,22.347,22.446,0.458,16.000,,,26.780,0.855,-3.454,94.769,TRUE,0.733,TRUE,3,15,Amp,,0.997,N,N,80.896,,,
33,C9,FALSE,,CREB1,STANDARD,SYBR,None,22.046,22.446,0.458,16.000,,,26.780,0.855,-3.454,94.769,TRUE,0.733,TRUE,3,14,Amp,,0.996,N,N,81.035,,,
34,C10,FALSE,,Rpl191,STANDARD,SYBR,None,19.125,18.455,0.668,16.000,,,22.374,0.959,-3.235,103.765,TRUE,0.579,TRUE,3,11,Amp,,0.993,N,Y,82.428,,,
35,C11,FALSE,,Rpl191,STANDARD,SYBR,None,18.451,18.455,0.668,16.000,,,22.374,0.959,-3.235,103.765,TRUE,0.579,TRUE,3,12,Amp,,0.993,N,Y,82.707,,,
36,C12,FALSE,,Rpl191,STANDARD,SYBR,None,17.788,18.455,0.668,16.000,,,22.374,0.959,-3.235,103.765,TRUE,0.579,TRUE,3,11,Amp,,0.994,N,Y,82.846,,,
40,D4,FALSE,,Dlg41,STANDARD,SYBR,None,25.490,23.431,1.998,8.000,,,26.458,0.803,-3.648,87.985,TRUE,1.170,TRUE,3,18,Amp,,0.995,N,Y,86.328,,,
41,D5,FALSE,,Dlg41,STANDARD,SYBR,None,23.301,23.431,1.998,8.000,,,26.458,0.803,-3.648,87.985,TRUE,1.170,TRUE,3,15,Amp,,0.995,N,Y,86.746,,,
42,D6,FALSE,,Dlg41,STANDARD,SYBR,None,21.501,23.431,1.998,8.000,,,26.458,0.803,-3.648,87.985,TRUE,1.170,TRUE,3,14,Amp,,0.990,N,Y,86.746,,,
43,D7,FALSE,,CREB1,STANDARD,SYBR,None,24.769,23.651,0.995,8.000,,,26.780,0.855,-3.454,94.769,TRUE,0.733,TRUE,3,18,Amp,,0.998,N,Y,80.757,,,
44,D8,FALSE,,CREB1,STANDARD,SYBR,None,23.321,23.651,0.995,8.000,,,26.780,0.855,-3.454,94.769,TRUE,0.733,TRUE,3,17,Amp,,0.996,N,Y,80.896,,,
45,D9,FALSE,,CREB1,STANDARD,SYBR,None,22.863,23.651,0.995,8.000,,,26.780,0.855,-3.454,94.769,TRUE,0.733,TRUE,3,15,Amp,,0.997,N,Y,81.035,,,
46,D10,FALSE,,Rpl191,STANDARD,SYBR,None,20.101,19.434,0.664,8.000,,,22.374,0.959,-3.235,103.765,TRUE,0.579,TRUE,3,13,Amp,,0.995,N,Y,82.428,,,
47,D11,FALSE,,Rpl191,STANDARD,SYBR,None,19.427,19.434,0.664,8.000,,,22.374,0.959,-3.235,103.765,TRUE,0.579,TRUE,3,12,Amp,,0.994,N,Y,82.707,,,
48,D12,FALSE,,Rpl191,STANDARD,SYBR,None,18.773,19.434,0.664,8.000,,,22.374,0.959,-3.235,103.765,TRUE,0.579,TRUE,3,12,Amp,,0.994,N,Y,82.846,,,
52,E4,FALSE,,Dlg41,STANDARD,SYBR,None,25.876,24.935,1.331,4.000,,,26.458,0.803,-3.648,87.985,TRUE,1.170,TRUE,3,18,Amp,,0.996,N,Y,86.328,,,
53,E5,FALSE,,Dlg41,STANDARD,SYBR,None,23.994,24.935,1.331,4.000,,,26.458,0.803,-3.648,87.985,TRUE,1.170,TRUE,3,16,Amp,,0.996,N,Y,86.746,,,
55,E7,FALSE,,CREB1,STANDARD,SYBR,None,25.519,24.487,0.944,4.000,,,26.780,0.855,-3.454,94.769,TRUE,0.733,TRUE,3,18,Amp,,0.997,N,Y,80.757,,,
56,E8,FALSE,,CREB1,STANDARD,SYBR,None,24.272,24.487,0.944,4.000,,,26.780,0.855,-3.454,94.769,TRUE,0.733,TRUE,3,17,Amp,,0.996,N,Y,80.896,,,
57,E9,FALSE,,CREB1,STANDARD,SYBR,None,23.668,24.487,0.944,4.000,,,26.780,0.855,-3.454,94.769,TRUE,0.733,TRUE,3,15,Amp,,0.993,N,Y,81.175,,,
58,E10,FALSE,,Rpl191,STANDARD,SYBR,None,20.813,20.380,0.472,4.000,,,22.374,0.959,-3.235,103.765,TRUE,0.579,TRUE,3,13,Amp,,0.995,N,N,82.567,,,
59,E11,FALSE,,Rpl191,STANDARD,SYBR,None,20.451,20.380,0.472,4.000,,,22.374,0.959,-3.235,103.765,TRUE,0.579,TRUE,3,14,Amp,,0.996,N,N,82.707,,,
60,E12,FALSE,,Rpl191,STANDARD,SYBR,None,19.877,20.380,0.472,4.000,,,22.374,0.959,-3.235,103.765,TRUE,0.579,TRUE,3,13,Amp,,0.995,N,N,82.846,,,
64,F4,FALSE,,Dlg41,STANDARD,SYBR,None,26.320,25.144,1.097,2.000,,,26.458,0.803,-3.648,87.985,TRUE,1.170,TRUE,3,19,Amp,,0.995,N,Y,86.328,,,
65,F5,FALSE,,Dlg41,STANDARD,SYBR,None,24.963,25.144,1.097,2.000,,,26.458,0.803,-3.648,87.985,TRUE,1.170,TRUE,3,17,Amp,,0.996,N,Y,86.746,,,
66,F6,FALSE,,Dlg41,STANDARD,SYBR,None,24.148,25.144,1.097,2.000,,,26.458,0.803,-3.648,87.985,TRUE,1.170,TRUE,3,17,Amp,,0.993,N,Y,86.746,,,
67,F7,FALSE,,CREB1,STANDARD,SYBR,None,27.556,25.814,1.557,2.000,,,26.780,0.855,-3.454,94.769,TRUE,0.733,TRUE,3,21,Amp,,0.986,N,Y,80.757,,,
68,F8,FALSE,,CREB1,STANDARD,SYBR,None,25.330,25.814,1.557,2.000,,,26.780,0.855,-3.454,94.769,TRUE,0.733,TRUE,3,19,Amp,,0.995,N,Y,81.035,,,
69,F9,FALSE,,CREB1,STANDARD,SYBR,None,24.557,25.814,1.557,2.000,,,26.780,0.855,-3.454,94.769,TRUE,0.733,TRUE,3,16,Amp,,0.995,N,Y,81.314,,,
70,F10,FALSE,,Rpl191,STANDARD,SYBR,None,21.699,21.381,0.320,2.000,,,22.374,0.959,-3.235,103.765,TRUE,0.579,TRUE,3,14,Amp,,0.995,N,N,82.567,,,
71,F11,FALSE,,Rpl191,STANDARD,SYBR,None,21.385,21.381,0.320,2.000,,,22.374,0.959,-3.235,103.765,TRUE,0.579,TRUE,3,14,Amp,,0.995,N,N,82.707,,,
72,F12,FALSE,,Rpl191,STANDARD,SYBR,None,21.058,21.381,0.320,2.000,,,22.374,0.959,-3.235,103.765,TRUE,0.579,TRUE,3,14,Amp,,0.975,N,N,82.846,,,
74,G2,FALSE,,Fos1,STANDARD,SYBR,None,33.950,33.950,,1.000,,,0.000,0.000,0.000,-100.000,TRUE,0.936,TRUE,3,26,Amp,,0.994,N,N,86.607,,,
76,G4,FALSE,,Dlg41,STANDARD,SYBR,None,28.462,26.257,1.936,1.000,,,26.458,0.803,-3.648,87.985,TRUE,1.170,TRUE,3,20,Amp,,0.995,N,Y,86.328,,,
77,G5,FALSE,,Dlg41,STANDARD,SYBR,None,25.469,26.257,1.936,1.000,,,26.458,0.803,-3.648,87.985,TRUE,1.170,TRUE,3,17,Amp,,0.992,N,Y,86.885,,,
78,G6,FALSE,,Dlg41,STANDARD,SYBR,None,24.839,26.257,1.936,1.000,,,26.458,0.803,-3.648,87.985,TRUE,1.170,TRUE,3,16,Amp,,0.995,N,Y,86.885,,,
79,G7,FALSE,,CREB1,STANDARD,SYBR,None,28.144,26.899,1.111,1.000,,,26.780,0.855,-3.454,94.769,TRUE,0.733,TRUE,3,21,Amp,,0.996,N,Y,80.896,,,
80,G8,FALSE,,CREB1,STANDARD,SYBR,None,26.542,26.899,1.111,1.000,,,26.780,0.855,-3.454,94.769,TRUE,0.733,TRUE,3,19,Amp,,0.997,N,Y,81.035,,,
81,G9,FALSE,,CREB1,STANDARD,SYBR,None,26.010,26.899,1.111,1.000,,,26.780,0.855,-3.454,94.769,TRUE,0.733,TRUE,3,18,Amp,,0.993,N,Y,81.453,,,
82,G10,FALSE,,Rpl191,STANDARD,SYBR,None,22.638,22.429,0.220,1.000,,,22.374,0.959,-3.235,103.765,TRUE,0.579,TRUE,3,14,Amp,,0.993,N,N,82.428,,,
83,G11,FALSE,,Rpl191,STANDARD,SYBR,None,22.451,22.429,0.220,1.000,,,22.374,0.959,-3.235,103.765,TRUE,0.579,TRUE,3,15,Amp,,0.995,N,N,82.846,,,
84,G12,FALSE,,Rpl191,STANDARD,SYBR,None,22.200,22.429,0.220,1.000,,,22.374,0.959,-3.235,103.765,TRUE,0.579,TRUE,3,15,Amp,,0.993,N,N,82.846,,,
