"","count","gene","sample","ind","time","region","APA","strained"
"383",612,"rRNA18S","26","BL 3","AM","CA3","trained","wt"
"384",602,"rRNA18S","26","BL 3","AM","CA3","trained","wt"
"385",1253,"rRNA18S","27","BL 5","AM","CA3","trained","wt"
"386",1164,"rRNA18S","27","BL 5","AM","CA3","trained","wt"
"387",1196,"rRNA18S","27","BL 5","AM","CA3","trained","wt"
"388",547,"rRNA18S","28","BL 13","PM","CA3","trained","wt"
"389",507,"rRNA18S","28","BL 13","PM","CA3","trained","wt"
"390",494,"rRNA18S","28","BL 13","PM","CA3","trained","wt"
"391",626,"rRNA18S","29","BL 10","PM","CA3","control","wt"
"392",593,"rRNA18S","29","BL 10","PM","CA3","control","wt"
"393",635,"rRNA18S","29","BL 10","PM","CA3","control","wt"
"394",409,"rRNA18S","30","BL 12","AM","CA3","control","wt"
"395",379,"rRNA18S","30","BL 12","AM","CA3","control","wt"
"396",389,"rRNA18S","30","BL 12","AM","CA3","control","wt"
"397",6668,"rRNA18S","31","BL 15","PM","CA3","trained","wt"
"398",6658,"rRNA18S","31","BL 15","PM","CA3","trained","wt"
"399",6939,"rRNA18S","31","BL 15","PM","CA3","trained","wt"
"400",3266,"rRNA18S","32","BL 7","AM","CA3","trained","wt"
"401",3140,"rRNA18S","32","BL 7","AM","CA3","trained","wt"
"402",3311,"rRNA18S","32","BL 7","AM","CA3","trained","wt"
"403",10090,"rRNA18S","33","BL 1","AM","CA3","trained","wt"
"404",11751,"rRNA18S","33","BL 1","AM","CA3","trained","wt"
"405",9722,"rRNA18S","33","BL 1","AM","CA3","trained","wt"
"406",9442,"rRNA18S","34","BL 2","AM","CA3","trained","wt"
"407",8769,"rRNA18S","34","BL 2","AM","CA3","trained","wt"
"408",9601,"rRNA18S","34","BL 2","AM","CA3","trained","wt"
"409",4,"fmr1","1","a","AM","CA1","control","fmr1"
"410",3,"fmr1","1","a","AM","CA1","control","fmr1"
"411",4,"fmr1","1","a","AM","CA1","control","fmr1"
"412",4,"fmr1","2","a wt","AM","CA1","trained","wt"
"413",4,"fmr1","2","a wt","AM","CA1","trained","wt"
"414",3,"fmr1","2","a wt","AM","CA1","trained","wt"
"415",3,"fmr1","3","aa","AM","CA1","homecage","fmr1"
"416",0,"fmr1","3","aa","AM","CA1","homecage","fmr1"
"417",0,"fmr1","3","aa","AM","CA1","homecage","fmr1"
"418",2,"fmr1","4","ab","AM","CA1","control","wt"
"419",1,"fmr1","4","ab","AM","CA1","control","wt"
"420",3,"fmr1","4","ab","AM","CA1","control","wt"
"421",5,"fmr1","5","b ","AM","CA1","trained","fmr1"
"422",0,"fmr1","5","b ","AM","CA1","trained","fmr1"
"423",2,"fmr1","5","b ","AM","CA1","trained","fmr1"
"424",2,"fmr1","6","bb","AM","CA1","homecage","wt"
"425",0,"fmr1","6","bb","AM","CA1","homecage","wt"
"426",1,"fmr1","6","bb","AM","CA1","homecage","wt"
"427",9,"fmr1","7","c","AM","CA1","trained","fmr1"
"428",13,"fmr1","7","c","AM","CA1","trained","fmr1"
"429",19,"fmr1","7","c","AM","CA1","trained","fmr1"
"430",0,"fmr1","8","e","AM","CA1","control","fmr1"
"431",2,"fmr1","8","e","AM","CA1","control","fmr1"
"432",4,"fmr1","8","e","AM","CA1","control","fmr1"
"433",0,"fmr1","9","f","AM","CA1","trained","fmr1"
"434",0,"fmr1","9","f","AM","CA1","trained","fmr1"
"435",0,"fmr1","9","f","AM","CA1","trained","fmr1"
"436",0,"fmr1","10","g","AM","CA1","control","fmr1"
"437",0,"fmr1","10","g","AM","CA1","control","fmr1"
"438",0,"fmr1","10","g","AM","CA1","control","fmr1"
"439",0,"fmr1","11","h","AM","CA1","trained","fmr1"
"441",3,"fmr1","11","h","AM","CA1","trained","fmr1"
"442",3,"fmr1","12","i","AM","CA1","control","fmr1"
"443",2,"fmr1","12","i","AM","CA1","control","fmr1"
"444",0,"fmr1","12","i","AM","CA1","control","fmr1"
"445",0,"fmr1","13","j","AM","CA1","trained","fmr1"
"446",0,"fmr1","13","j","AM","CA1","trained","fmr1"
"447",0,"fmr1","13","j","AM","CA1","trained","fmr1"
"448",2,"fmr1","14","k","AM","CA1","control","fmr1"
"449",4,"fmr1","14","k","AM","CA1","control","fmr1"
"450",0,"fmr1","14","k","AM","CA1","control","fmr1"
