"ind","genotype","session","filename","APA","genoAPA","genoAPAsession","genoAPAsessionInd","p.miss","TotalTime","TotalPath","Entrances","TimeToFirstEntrance","PathToFirstEntrance","SpeedToFirstEntrance","EntrancePerDistance","TotalShocks","TimeToFirstShock","PathToFirstShock","Speed","SDofSpeed","LineArity","MaxAvoidTime","MaxAvoidPath","TimeToSecondEntrance","PathToSecondEntrance","SpeedToSecondEntranc","TimeTARG","pTimeTARG","pTimeCCW","pTimeOPP","pTimeCW","RayleigLength","RayleigAngle","PolarAveVal","PolarSdVal","PolarMinVal","PolarMinBin","MinLoBin","MinHiBin","PolarMaxVal","PolarMaxBin","MaxLoBin","MaxHiBin","AnnularMinVal","AnnularMinBin","AnnularMaxVal","AnnularMaxBin","AnnularAvg","AnnularSD","AnnularSkewnes","AnnularKurtosis"
"BL 6","WT","pretraining","                 bl6D1Hab_Room_Control","control","WT_control","WT_control_pretraining","WT_control_pretraining_BL 6",0,600,32.38,27,2.93,0.16,10.32,0.83,53,2.93,0.16,5.4,3.99,0.6475,57,3.3,47.83,2.35,8.98,93.832,0.2226,0.2073,0.3412,0.2289,0.11,187.49,193.18,102.41,0.0162,30,280,140,0.048,160,100,270,6e-04,19.4,0.2819,15,13.95,21.03,1.54,5.59
"BL 6","WT","training1","              bl6D1Train1_Room_Control","control","WT_control","WT_control_training1","WT_control_training1_BL 6",0,600,23.63,18,17.47,0.84,9.73,0.76,49,17.47,0.84,3.94,3.06,0.5963,73,3.08,36.53,1.61,4.13,89.966,0.2204,0.1727,0.2483,0.3586,0.13,255.72,179,113.16,0.0145,30,300,170,0.0525,280,150,320,8e-04,19.4,0.3099,15,14.01,18.7,1.56,5.89
"BL 6","WT","training2","              bl6D1Train2_Room_Control","control","WT_control","WT_control_training2","WT_control_training2_BL 6",0,600,21.23,12,10.5,0.33,11.11,0.57,31,10.5,0.33,3.54,2.71,0.6238,121,4.07,132.2,4.72,9.94,60.167,0.15,0.3197,0.3431,0.1873,0.26,144.08,200.73,90.15,0.0093,20,190,90,0.0628,120,80,210,0.002,19.4,0.2499,13.2,13.58,22.63,1.18,4.23
"BL 6","WT","training3","              bl6D1Train3_Room_Control","control","WT_control","WT_control_training3","WT_control_training3_BL 6",0,600,19.16,13,12.53,0.39,10.83,0.68,37,12.53,0.39,3.19,2.43,0.637,124,4.29,43.33,1.42,5.32,70.967,0.1763,0.4257,0.2572,0.1408,0.37,107.47,186.28,80.7,0.0081,230,160,80,0.0626,140,60,170,0.0115,19.4,0.2231,13.2,13.98,22.98,1.08,4
"BL 6","WT","retention","              bl6D2Retest_Room_Control","control","WT_control","WT_control_retention","WT_control_retention_BL 6",0,600,17.01,13,10.83,0.27,3.7,0.76,37,10.83,0.27,2.84,2.04,0.587,91,2.09,36.07,0.87,3.28,71.833,0.176,0.1763,0.3606,0.287,0.18,209.43,199.35,105.27,0.0148,330,280,160,0.0539,200,140,290,0.0498,18,0.2585,13.2,12.68,23.13,1.11,4.18
"BL 7","WT","pretraining","                 bl7D1Hab_Room_Train","trained","WT_trained","WT_trained_pretraining","WT_trained_pretraining_BL 7",0,600,26.64,23,3.1,0.31,14.55,0.86,57,3.1,0.31,4.44,3.48,0.5594,70,4.42,38.67,2.27,7.73,113.398,0.2795,0.2857,0.1852,0.2495,0.12,341.01,164.97,104.2,0.0157,180,40,260,0.0555,320,230,40,0.0271,19.4,0.271,16.6,14.08,24.94,1.31,4.06
"BL 7","WT","training1","              bl7D1Train1_Room_Train","trained","WT_trained","WT_trained_training1","WT_trained_training1_BL 7",6e-05,600,17.09,4,83.37,2.21,9.39,0.23,4,83.37,2.21,2.85,2.57,0.5889,335,4.16,86.67,2.44,4.56,3.566,0.009,0.1302,0.7307,0.1301,0.7,180.09,259.33,49.88,3e-04,320,210,160,0.087,170,150,230,8e-04,19.4,0.3389,16.6,14.77,18.16,1.82,6.86
"BL 7","WT","training2","              bl7D1Train2_Room_Train","trained","WT_trained","WT_trained_training2","WT_trained_training2_BL 7",0.00056,600,15.73,1,55.1,1.32,2.65,0.06,1,55.1,1.32,2.62,2.68,0.6764,544,1.32,599.97,15.73,-1,0.9,0.0022,0.1744,0.7271,0.0963,0.71,175.98,262.72,47.4,0,0,210,160,0.0891,170,140,220,0.0021,8.5,0.4532,16.6,17.17,10.01,3.9,36.05
"BL 7","WT","training3","              bl7D1Train3_Room_Train","trained","WT_trained","WT_trained_training3","WT_trained_training3_BL 7",0,600,15.47,0,599.97,15.47,-1,0,0,599.97,15.47,2.58,2.36,0.6276,599,15.47,599.97,15.47,-1,0,0,0.1175,0.822,0.0605,0.79,176.71,264.99,40.07,0,0,200,160,0.1128,180,150,220,0.0015,3.5,0.4642,16.6,16.73,7.72,2.37,18.93
"BL 7","WT","retention","              bl7D2Retest_Room_Train","trained","WT_trained","WT_trained_retention","WT_trained_retention_BL 7",0.00178,600,20.08,5,0.53,0,-1,0.25,5,0.53,0,3.35,3.79,0.5518,255,8.91,30,1.85,12.75,8.901,0.0206,0.0799,0.8205,0.079,0.76,178.19,258.4,46.57,8e-04,300,200,170,0.1257,190,150,210,6e-04,8.5,0.5611,16.6,16.36,7.88,0.76,4.83
"BL 8","WT","pretraining","                 bl8D1Hab_Room_Control","control","WT_control","WT_control_pretraining","WT_control_pretraining_BL 8",0,600,19.89,18,0.53,0,-1,0.91,46,0.53,0,3.31,2.61,0.6193,106,4.12,22.77,1.06,5.45,87.931,0.2162,0.3409,0.2867,0.1563,0.24,121.42,196.28,88.21,0.009,320,180,60,0.0496,120,50,200,0.0036,19.4,0.2896,13.2,14.17,19.64,1.47,6.03
