sample	ind	Time	Region	APA	strain	pkmz	grim	rpl19
13	BL15	PM	CA1	train	WT	33.062603	31.14772224	26.23864746
13	BL15	PM	CA1	train	WT	32.8705101	31.30413437	26.12080574
14	BL9	AM	CA1	train	WT	34.37045288	32.73983765	26.90160179
14	BL9	AM	CA1	train	WT	34.68447495	32.88922501	26.95425797
14	BL9	AM	CA1	train	WT	33.94664001	32.94205475	27.11223984
15	BL5	AM	CA1	train	WT	36.66988754	-1	31.2286129
15	BL5	AM	CA1	train	WT	-1	37.65876389	30.74606133
15	BL5	AM	CA1	train	WT	37.69877625	37.65061951	31.31110954
16	BL18	AM	CA1	control	WT	35.33703613	36.84502411	30.25627708
16	BL18	AM	CA1	control	WT	35.48984528	36.7335434	29.89768028
16	BL18	AM	CA1	control	WT	35.43572235	35.21102142	30.3367672
17	BL14	AM	CA1	control	WT	36.25089645	35.17491531	29.12389374
17	BL14	AM	CA1	control	WT	36.00594711	36.24655151	29.32318687
17	BL14	AM	CA1	control	WT	36.21489334	34.41275787	28.80682182
18	BL17	AM	CA1	train	WT	33.00233459	32.70794296	27.62348175
18	BL17	AM	CA1	train	WT	32.56336594	32.75511932	27.56990814
18	BL17	AM	CA1	train	WT	33.31090927	33.1163559	27.60569954
19	BL6	AM	CA1	control	WT	34.69125748	34.93935013	28.57095337
19	BL6	AM	CA1	control	WT	37.30381012	34.29908371	28.72323799
19	BL6	AM	CA1	control	WT	35.63079453	35.82927322	28.96980667
20	BL9	AM	CA3	train	WT	36.13518143	36.94115448	34.93665314
20	BL9	AM	CA3	train	WT	-1	37.66383362	35.50929642
20	BL9	AM	CA3	train	WT	35.93574524	36.59036255	35.67110062
21	BL8	AM	CA3	control	WT	34.27355194	34.47057343	33.87258148
21	BL8	AM	CA3	control	WT	34.34864426	34.36867905	34.0306778
21	BL8	AM	CA3	control	WT	34.9561348	35.26099396	34.00651169
22	BL14	AM	CA3	control	WT	33.86361313	34.47029495	32.88657761
22	BL14	AM	CA3	control	WT	33.7420845	34.60627747	32.78491592
22	BL14	AM	CA3	control	WT	34.38090134	35.45249557	33.0949707
23	BL4	AM	CA3	control	WT	33.61533356	37.33334732	33.45655823
23	BL4	AM	CA3	control	WT	33.33954239	37.90647125	33.48411179
23	BL4	AM	CA3	control	WT	33.53642273	36.31224823	33.49913788
24	BL19	PM	CA3	train	WT	34.83725357	35.68228149	33.55376434
24	BL19	PM	CA3	train	WT	34.08893967	34.83036041	33.30132675
24	BL19	PM	CA3	train	WT	33.40499496	34.68021774	33.69527435
25	BL6	AM	CA3	control	WT	34.34453964	35.27561188	34.03299332
25	BL6	AM	CA3	control	WT	34.13310242	-1	33.69207001
25	BL6	AM	CA3	control	WT	35.66322708	35.73962784	33.78071976
26	BL18	AM	CA3	control	WT	33.39032364	35.99063873	34.96960449
26	BL18	AM	CA3	control	WT	35.08797836	36.20507431	34.68864059
26	BL18	AM	CA3	control	WT	35.30265045	36.4380722	34.81651688
27	BL11	AM	CA3	train	WT	-1	36.09133911	34.10678101
27	BL11	AM	CA3	train	WT	33.08098984	37.30640793	34.12405396
27	BL11	AM	CA3	train	WT	35.5160675	35.57703781	34.3343544
28	BL3	AM	CA3	train	WT	33.54331207	-1	34.50144196
28	BL3	AM	CA3	train	WT	-1	38.4359169	35.14311981
28	BL3	AM	CA3	train	WT	33.26221466	36.13354492	35.03227997
29	BL5	AM	CA3	train	WT	34.52587128	35.98884964	33.81341171
29	BL5	AM	CA3	train	WT	33.68746948	35.77192688	34.00426102
29	BL5	AM	CA3	train	WT	35.3698349	35.52247238	34.64183426
30	BL13	PM	CA3	train	WT	35.67201233	NA	34.86527634
30	BL13	PM	CA3	train	WT	35.56294632	37.7396698	35.50115967
30	BL13	PM	CA3	train	WT	33.23603439	37.71271133	35.08288574
31	BL10	PM	CA3	control	WT	34.4622345	36.09513092	34.08031845
31	BL10	PM	CA3	control	WT	33.81954575	35.1338768	34.45806885
31	BL10	PM	CA3	control	WT	33.68861771	37.4053688	34.10239792
32	BL12	AM	CA3	control	WT	36.31508636	-1	35.05439758
32	BL12	AM	CA3	control	WT	35.57952499	35.83836746	34.79622269
32	BL12	AM	CA3	control	WT	33.6182785	37.60982895	35.59980011
33	BL15	PM	CA3	train	WT	30.43812943	32.69776917	31.15038109
33	BL15	PM	CA3	train	WT	30.94237518	32.83696747	31.27100182
33	BL15	PM	CA3	train	WT	30.44612694	32.75319672	31.46831703
34	BL7	AM	CA3	train	WT	31.43811035	33.307724	32.5513916
34	BL7	AM	CA3	train	WT	31.26288986	33.35445404	32.62634277
34	BL7	AM	CA3	train	WT	30.85464096	33.48236465	32.88419342
35	BL1	AM	CA3	train	WT	36.9444046	-1	35.99179459
35	BL1	AM	CA3	train	WT	33.74009323	-1	35.27347946
35	BL1	AM	CA3	train	WT	36.29188538	37.94684982	35.87812042
36	BL2	AM	CA3	train	WT	34.46593094	-1	35.79260254
36	BL2	AM	CA3	train	WT	34.67621994	-1	NA
36	BL2	AM	CA3	train	WT	34.71211243	-1	NA
37	ab	AM	CA1	control	WT	35.60031509	35.05534744	26.18714905
37	ab	AM	CA1	control	WT	36.07208633	34.98841095	26.2336483
37	ab	AM	CA1	control	WT	36.79415894	34.69942856	26.25535583
38	a	AM	CA1	control	fmr1	34.39366913	34.91590118	25.28633499
38	a	AM	CA1	control	fmr1	35.51675034	35.00599289	25.3582325
38	a	AM	CA1	control	fmr1	34.76863861	NA	25.37283707
39	e	AM	CA1	control	fmr1	34.16627884	34.2987442	23.74504471
39	e	AM	CA1	control	fmr1	33.72503281	33.73220444	23.82416344
39	e	AM	CA1	control	fmr1	32.92292404	34.27136612	23.82784653
40	g	AM	CA1	control	fmr1	-1	-1	29.02506256
40	g	AM	CA1	control	fmr1	-1	-1	29.04042625
40	g	AM	CA1	control	fmr1	-1	NA	29.20014763
41	i	AM	CA1	control	fmr1	33.40670776	34.42627335	25.356987
41	i	AM	CA1	control	fmr1	33.5161438	33.57812119	25.39126205
41	i	AM	CA1	control	fmr1	33.12648392	34.67239761	25.42825699
42	k	AM	CA1	control	fmr1	NA	35.21615219	24.71700287
42	k	AM	CA1	control	fmr1	34.08581161	33.66561127	24.71705246
42	k	AM	CA1	control	fmr1	34.0885849	34.34098053	24.9011097
43	a wt	AM	CA1	train	WT	35.10873413	35.14461517	26.09681129
43	a wt	AM	CA1	train	WT	35.32863998	33.78046799	26.11940002
43	a wt	AM	CA1	train	WT	35.02077484	33.91615677	26.18650627
44	b 	AM	CA1	train	fmr1	35.19299698	33.26704025	25.67910385
44	b 	AM	CA1	train	fmr1	34.45801544	32.93992996	25.75613594
44	b 	AM	CA1	train	fmr1	36.87175369	33.57135773	25.91711426
45	c	AM	CA1	train	fmr1	31.92525482	32.3731041	21.67822647
45	c	AM	CA1	train	fmr1	31.98428345	32.1714859	21.8482151
45	c	AM	CA1	train	fmr1	32.05524063	32.25984573	NA
46	f	AM	CA1	train	fmr1	33.99665833	34.80743027	26.92713547
46	f	AM	CA1	train	fmr1	34.52233124	34.32191849	26.96572113
46	f	AM	CA1	train	fmr1	36.19083786	34.39385223	27.08987236
47	h	AM	CA1	train	fmr1	35.1064682	35.88806915	24.99666595
47	h	AM	CA1	train	fmr1	35.02765656	34.75188065	25.01341057
47	h	AM	CA1	train	fmr1	35.23407745	35.14170456	25.10553169
48	j	AM	CA1	train	fmr1	-1	-1	26.06641006
48	j	AM	CA1	train	fmr1	36.25031662	36.3382988	26.11288071
48	j	AM	CA1	train	fmr1	-1	-1	26.13590813
								
