count,gene,sample,ind,time,region,APA,strain,year
36,rRNA18S,13,j,AM,CA1,Trained,fmr1,2014
35,rRNA18S,13,j,AM,CA1,Trained,fmr1,2014
419,rRNA18S,18,BL 9,AM,CA3,Trained,B6,2013
406,rRNA18S,18,BL 9,AM,CA3,Trained,B6,2013
430,rRNA18S,18,BL 9,AM,CA3,Trained,B6,2013
1353,rRNA18S,22,BL 19,PM,CA3,Trained,B6,2013
1169,rRNA18S,22,BL 19,PM,CA3,Trained,B6,2013
1236,rRNA18S,22,BL 19,PM,CA3,Trained,B6,2013
1581,rRNA18S,25,BL 11,AM,CA3,Trained,B6,2013
1558,rRNA18S,25,BL 11,AM,CA3,Trained,B6,2013
1339,rRNA18S,25,BL 11,AM,CA3,Trained,B6,2013
661,rRNA18S,26,BL 3,AM,CA3,Trained,B6,2013
612,rRNA18S,26,BL 3,AM,CA3,Trained,B6,2013
602,rRNA18S,26,BL 3,AM,CA3,Trained,B6,2013
1253,rRNA18S,27,BL 5,AM,CA3,Trained,B6,2013
1164,rRNA18S,27,BL 5,AM,CA3,Trained,B6,2013
1196,rRNA18S,27,BL 5,AM,CA3,Trained,B6,2013
547,rRNA18S,28,BL 13,PM,CA3,Trained,B6,2013
507,rRNA18S,28,BL 13,PM,CA3,Trained,B6,2013
494,rRNA18S,28,BL 13,PM,CA3,Trained,B6,2013
6668,rRNA18S,31,BL 15,PM,CA3,Trained,B6,2013
6658,rRNA18S,31,BL 15,PM,CA3,Trained,B6,2013
6939,rRNA18S,31,BL 15,PM,CA3,Trained,B6,2013
3266,rRNA18S,32,BL 7,AM,CA3,Trained,B6,2013
3140,rRNA18S,32,BL 7,AM,CA3,Trained,B6,2013
3311,rRNA18S,32,BL 7,AM,CA3,Trained,B6,2013
10090,rRNA18S,33,BL 1,AM,CA3,Trained,B6,2013
11751,rRNA18S,33,BL 1,AM,CA3,Trained,B6,2013
9722,rRNA18S,33,BL 1,AM,CA3,Trained,B6,2013
9442,rRNA18S,34,BL 2,AM,CA3,Trained,B6,2013
8769,rRNA18S,34,BL 2,AM,CA3,Trained,B6,2013
9601,rRNA18S,34,BL 2,AM,CA3,Trained,B6,2013
23,dlg4,2,a wt,AM,CA1,Trained,B6,2014
13,dlg4,2,a wt,AM,CA1,Trained,B6,2014
11,dlg4,2,a wt,AM,CA1,Trained,B6,2014
24,dlg4,5,b ,AM,CA1,Trained,fmr1,2014
24,dlg4,5,b ,AM,CA1,Trained,fmr1,2014
23,dlg4,5,b ,AM,CA1,Trained,fmr1,2014
62,dlg4,7,c,AM,CA1,Trained,fmr1,2014
35,dlg4,7,c,AM,CA1,Trained,fmr1,2014
24,dlg4,7,c,AM,CA1,Trained,fmr1,2014
22,dlg4,9,f,AM,CA1,Trained,fmr1,2014
21,dlg4,9,f,AM,CA1,Trained,fmr1,2014
11,dlg4,9,f,AM,CA1,Trained,fmr1,2014
10,dlg4,11,h,AM,CA1,Trained,fmr1,2014
