,count,gene,sample,ind,time,region,APA,strained,group,conc,
62,36,pkmz,4,ab,AM,CA1,control,wt,2,0.51,70.58823529
63,18,pkmz,4,ab,AM,CA1,control,wt,2,0.51,35.29411765
88,36,pkmz,54,ab,AM,CA1,control,wt,2,0.51,70.58823529
89,36,pkmz,54,ab,AM,CA1,control,wt,2,0.51,70.58823529
90,18,pkmz,54,ab,AM,CA1,control,wt,2,0.51,35.29411765
190,72,grim,4,ab,AM,CA1,control,wt,2,0.51,141.1764706
191,72,grim,4,ab,AM,CA1,control,wt,2,0.51,141.1764706
192,90,grim,4,ab,AM,CA1,control,wt,2,0.51,176.4705882
217,72,grim,54,ab,AM,CA1,control,wt,2,0.51,141.1764706
218,72,grim,54,ab,AM,CA1,control,wt,2,0.51,141.1764706
219,90,grim,54,ab,AM,CA1,control,wt,2,0.51,176.4705882
319,20826,rpl19,4,ab,AM,CA1,control,wt,2,0.51,40835.29412
320,20196,rpl19,4,ab,AM,CA1,control,wt,2,0.51,39600
321,19926,rpl19,4,ab,AM,CA1,control,wt,2,0.51,39070.58824
346,20826,rpl19,54,ab,AM,CA1,control,wt,2,0.51,40835.29412
347,20196,rpl19,54,ab,AM,CA1,control,wt,2,0.51,39600
348,19926,rpl19,54,ab,AM,CA1,control,wt,2,0.51,39070.58824
1,90,pkmz,1,a,AM,CA1,control,fmr1,1,0.71,126.7605634
2,54,pkmz,1,a,AM,CA1,control,fmr1,1,0.71,76.05633803
3,72,pkmz,1,a,AM,CA1,control,fmr1,1,0.71,101.4084507
16,90,pkmz,55,a,AM,CA1,control,fmr1,1,0.71,126.7605634
17,54,pkmz,55,a,AM,CA1,control,fmr1,1,0.71,76.05633803
18,72,pkmz,55,a,AM,CA1,control,fmr1,1,0.71,101.4084507
130,72,grim,1,a,AM,CA1,control,fmr1,1,0.71,101.4084507
131,72,grim,1,a,AM,CA1,control,fmr1,1,0.71,101.4084507
145,72,grim,55,a,AM,CA1,control,fmr1,1,0.71,101.4084507
146,72,grim,55,a,AM,CA1,control,fmr1,1,0.71,101.4084507
259,37476,rpl19,1,a,AM,CA1,control,fmr1,1,0.71,52783.09859
260,35766,rpl19,1,a,AM,CA1,control,fmr1,1,0.71,50374.64789
261,35424,rpl19,1,a,AM,CA1,control,fmr1,1,0.71,49892.95775
274,37476,rpl19,55,a,AM,CA1,control,fmr1,1,0.71,52783.09859
275,35766,rpl19,55,a,AM,CA1,control,fmr1,1,0.71,50374.64789
276,35424,rpl19,55,a,AM,CA1,control,fmr1,1,0.71,49892.95775
91,54,pkmz,2,a wt,AM,CA1,trained,wt,4,0.73,73.97260274
92,54,pkmz,2,a wt,AM,CA1,trained,wt,4,0.73,73.97260274
93,72,pkmz,2,a wt,AM,CA1,trained,wt,4,0.73,98.63013699
127,54,pkmz,60,a wt,AM,CA1,trained,wt,4,0.73,73.97260274
128,54,pkmz,60,a wt,AM,CA1,trained,wt,4,0.73,73.97260274
129,72,pkmz,60,a wt,AM,CA1,trained,wt,4,0.73,98.63013699
220,54,grim,2,a wt,AM,CA1,trained,wt,4,0.73,73.97260274
221,162,grim,2,a wt,AM,CA1,trained,wt,4,0.73,221.9178082
222,144,grim,2,a wt,AM,CA1,trained,wt,4,0.73,197.260274
256,54,grim,60,a wt,AM,CA1,trained,wt,4,0.73,73.97260274
257,162,grim,60,a wt,AM,CA1,trained,wt,4,0.73,221.9178082
258,144,grim,60,a wt,AM,CA1,trained,wt,4,0.73,197.260274
349,22086,rpl19,2,a wt,AM,CA1,trained,wt,4,0.73,30254.79452
350,21762,rpl19,2,a wt,AM,CA1,trained,wt,4,0.73,29810.9589
351,20826,rpl19,2,a wt,AM,CA1,trained,wt,4,0.73,28528.76712
385,22086,rpl19,60,a wt,AM,CA1,trained,wt,4,0.73,30254.79452
386,21762,rpl19,60,a wt,AM,CA1,trained,wt,4,0.73,29810.9589
387,20826,rpl19,60,a wt,AM,CA1,trained,wt,4,0.73,28528.76712
31,54,pkmz,5,b ,AM,CA1,trained,fmr1,8,0.95,56.84210526
32,90,pkmz,5,b ,AM,CA1,trained,fmr1,8,0.95,94.73684211
33,18,pkmz,5,b ,AM,CA1,trained,fmr1,8,0.95,18.94736842
46,54,pkmz,61,b ,AM,CA1,trained,fmr1,8,0.95,56.84210526
47,90,pkmz,61,b ,AM,CA1,trained,fmr1,8,0.95,94.73684211
48,18,pkmz,61,b ,AM,CA1,trained,fmr1,8,0.95,18.94736842
160,216,grim,5,b ,AM,CA1,trained,fmr1,8,0.95,227.3684211
161,270,grim,5,b ,AM,CA1,trained,fmr1,8,0.95,284.2105263
162,180,grim,5,b ,AM,CA1,trained,fmr1,8,0.95,189.4736842
175,216,grim,61,b ,AM,CA1,trained,fmr1,8,0.95,227.3684211
176,270,grim,61,b ,AM,CA1,trained,fmr1,8,0.95,284.2105263
177,180,grim,61,b ,AM,CA1,trained,fmr1,8,0.95,189.4736842
289,28998,rpl19,5,b ,AM,CA1,trained,fmr1,8,0.95,30524.21053
290,27594,rpl19,5,b ,AM,CA1,trained,fmr1,8,0.95,29046.31579
291,24840,rpl19,5,b ,AM,CA1,trained,fmr1,8,0.95,26147.36842
304,28998,rpl19,61,b ,AM,CA1,trained,fmr1,8,0.95,30524.21053
305,27594,rpl19,61,b ,AM,CA1,trained,fmr1,8,0.95,29046.31579
306,24840,rpl19,61,b ,AM,CA1,trained,fmr1,8,0.95,26147.36842
43,0,pkmz,13,j,AM,CA1,trained,fmr1,8,0.98,0
44,36,pkmz,13,j,AM,CA1,trained,fmr1,8,0.98,36.73469388
45,0,pkmz,13,j,AM,CA1,trained,fmr1,8,0.98,0
58,0,pkmz,65,j,AM,CA1,trained,fmr1,8,0.98,0
59,36,pkmz,65,j,AM,CA1,trained,fmr1,8,0.98,36.73469388
60,0,pkmz,65,j,AM,CA1,trained,fmr1,8,0.98,0
172,0,grim,13,j,AM,CA1,trained,fmr1,8,0.98,0
173,36,grim,13,j,AM,CA1,trained,fmr1,8,0.98,36.73469388
174,0,grim,13,j,AM,CA1,trained,fmr1,8,0.98,0
187,0,grim,65,j,AM,CA1,trained,fmr1,8,0.98,0
188,36,grim,65,j,AM,CA1,trained,fmr1,8,0.98,36.73469388
189,0,grim,65,j,AM,CA1,trained,fmr1,8,0.98,0
301,22536,rpl19,13,j,AM,CA1,trained,fmr1,8,0.98,22995.91837
302,21852,rpl19,13,j,AM,CA1,trained,fmr1,8,0.98,22297.95918
303,21528,rpl19,13,j,AM,CA1,trained,fmr1,8,0.98,21967.34694
316,22536,rpl19,65,j,AM,CA1,trained,fmr1,8,0.98,22995.91837
317,21852,rpl19,65,j,AM,CA1,trained,fmr1,8,0.98,22297.95918
318,21528,rpl19,65,j,AM,CA1,trained,fmr1,8,0.98,21967.34694
40,54,pkmz,11,h,AM,CA1,trained,fmr1,8,1,54
41,72,pkmz,11,h,AM,CA1,trained,fmr1,8,1,72
42,54,pkmz,11,h,AM,CA1,trained,fmr1,8,1,54
55,54,pkmz,64,h,AM,CA1,trained,fmr1,8,1,54
56,72,pkmz,64,h,AM,CA1,trained,fmr1,8,1,72
57,54,pkmz,64,h,AM,CA1,trained,fmr1,8,1,54
169,36,grim,11,h,AM,CA1,trained,fmr1,8,1,36
